Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
0;Sucursal_ZonaNorte;Sucursal_ZonaNorte;0.OnRunInitialized;[Create] Entities;Unable to get value of property 'Sucursal_ZonaNorte.EntityType'.
0;Sucursal_ZonaNorte;Sucursal_ZonaNorte;0.OnRunInitialized;[Create] Entities;Referenced definition type 'Pizzas' does not match executing type 'Source'

